Journal,ISSN,Included in R&P Agreement,Explanation if not included,DOI,Publisher
Nexus Network Journal,1522-4600,Yes,,,Springer Nature (Springer)
Nonlinear Differential Equations and Applications NoDEA,1420-9004,Yes,,,Springer Nature (Springer)
Nonlinear Dynamics,1573-269X,Yes,,,Springer Nature (Springer)
Notfall + Rettungsmedizin,1436-0578,Yes,,,Springer Nature (Springer)
"NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin",1420-9144,Yes,,,Springer Nature (Springer)
Nuclear Medicine and Molecular Imaging,1869-3482,Yes,,,Springer Nature (Springer)
Nuclear Science and Techniques,2210-3147,Yes,,,Springer Nature (Springer)
Numerical Algorithms,1572-9265,Yes,,,Springer Nature (Springer)
Numerical Analysis and Applications,1995-4247,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Numerische Mathematik,0945-3245,Yes,,,Springer Nature (Springer)
Nutrient Cycling in Agroecosystems,1573-0867,Yes,,,Springer Nature (Springer)
Nutrire,2316-7874,Yes,,,Springer Nature (Springer)
Obere Extremität,1862-6602,Yes,,,Springer Nature (Springer)
Obesity Surgery,1708-0428,Yes,,,Springer Nature (Springer)
Occupational Health Science,2367-0142,Yes,,,Springer Nature (Springer)
Ocean Dynamics,1616-7228,Yes,,,Springer Nature (Springer)
Ocean Science Journal,2005-7172,Yes,,,Springer Nature (Springer)
Oceanology,1531-8508,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Odontology,1618-1255,Yes,,,Springer Nature (Springer)
Oecologia,1432-1939,Yes,,,Springer Nature (Springer)
Oncogene,1476-5594,Yes,,,Springer Nature (Academic Journals on Nature.com)
Open Economies Review,1573-708X,Yes,,,Springer Nature (Springer)
Operational Research,1866-1505,Yes,,,Springer Nature (Springer)
Operations Management Research,1936-9743,Yes,,,Springer Nature (Springer)
Operations Research Forum,2662-2556,Yes,,,Springer Nature (Springer)
Operative Orthopädie und Traumatologie,1439-0981,Yes,,,Springer Nature (Springer)
OPSEARCH,0975-0320,Yes,,,Springer Nature (Springer)
Optical and Quantum Electronics,1572-817X,Yes,,,Springer Nature (Springer)
Optical Memory and Neural Networks,1934-7898,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Optical Review,1349-9432,Yes,,,Springer Nature (Springer)
Optics and Spectroscopy,1562-6911,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Optimization and Engineering,1573-2924,Yes,,,Springer Nature (Springer)
Optimization Letters,1862-4480,Yes,,,Springer Nature (Springer)
Optoelectronics Letters,1993-5013,Yes,,,Springer Nature (Springer)
"Optoelectronics, Instrumentation and Data Processing",1934-7944,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
OR Spectrum,1436-6304,Yes,,,Springer Nature (Springer)
Oral and Maxillofacial Surgery,1865-1569,Yes,,,Springer Nature (Springer)
Oral Radiology,1613-9674,Yes,,,Springer Nature (Springer)
Oralprophylaxe & Kinderzahnheilkunde,2190-8036,Yes,,,Springer Nature (Springer)
Order,1572-9273,Yes,,,Springer Nature (Springer)
Organic Agriculture,1879-4246,Yes,,,Springer Nature (Springer)
"Organisationsberatung, Supervision, Coaching",1862-2577,Yes,,,Springer Nature (Springer)
Organisms Diversity & Evolution,1618-1077,Yes,,,Springer Nature (Springer)
Origins of Life and Evolution of Biospheres,1573-0875,Yes,,,Springer Nature (Springer)
Ornithology Research,2662-673X,Yes,,,Springer Nature (Springer)
Orthopädie & Rheuma,2196-5684,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Osteoporosis International,1433-2965,Yes,,,Springer Nature (Springer)
Österreichische Wasser- und Abfallwirtschaft,1613-7566,Yes,,,Springer Nature (Springer)
Österreichische Zeitschrift für Soziologie,1862-2585,Yes,,,Springer Nature (Springer)
Oxidation of Metals,1573-4889,Yes,,,Springer Nature (Springer)
"p-Adic Numbers, Ultrametric Analysis and Applications",2070-0474,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Paddy and Water Environment,1611-2504,Yes,,,Springer Nature (Springer)
Pädiatrie,2196-6443,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Pädiatrie & Pädologie,1613-7558,Yes,,,Springer Nature (Springer)
Palaeobiodiversity and Palaeoenvironments,1867-1608,Yes,,,Springer Nature (Springer)
Paleontological Journal,1555-6174,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
PalZ,1867-6812,Yes,,,Springer Nature (Springer)
Parasitology Research,1432-1955,Yes,,,Springer Nature (Springer)
Partial Differential Equations and Applications,2662-2971,Yes,,,Springer Nature (Springer)
Pastoral Psychology,1573-6679,Yes,,,Springer Nature (Springer)
Pattern Analysis and Applications,1433-755X,Yes,,,Springer Nature (Springer)
Pattern Recognition and Image Analysis,1555-6212,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Pediatric Cardiology,1432-1971,Yes,,,Springer Nature (Springer)
Pediatric Drugs,1179-2019,Yes,,,Springer Nature (Adis)
Pediatric Nephrology,1432-198X,Yes,,,Springer Nature (Springer)
Pediatric Radiology,1432-1998,Yes,,,Springer Nature (Springer)
Pediatric Research,1530-0447,Yes,,,Springer Nature (Academic Journals on Nature.com)
Pediatric Surgery International,1437-9813,Yes,,,Springer Nature (Springer)
Peer-to-Peer Networking and Applications,1936-6450,Yes,,,Springer Nature (Springer)
Peking Mathematical Journal,2524-7182,Yes,,,Springer Nature (Springer)
Periodica Mathematica Hungarica,1588-2829,Yes,,,Springer Nature (Springer)
Personal and Ubiquitous Computing,1617-4917,Yes,,,Springer Nature (Springer)
Perspectives on Behavior Science,2520-8977,Yes,,,Springer Nature (Springer)
Petroleum Chemistry,1555-6239,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Petrology,1556-2085,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
"PFG – Journal of Photogrammetry, Remote Sensing and Geoinformation Science",2512-2819,Yes,,,Springer Nature (Springer)
Pflegezeitschrift,2520-1816,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Pflügers Archiv - European Journal of Physiology,1432-2013,Yes,,,Springer Nature (Springer)
Pharmaceutical Chemistry Journal,1573-9031,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Pharmaceutical Medicine,1179-1993,Yes,,,Springer Nature (Adis)
Pharmaceutical Research,1573-904X,Yes,,,Springer Nature (Springer)
PharmacoEconomics,1179-2027,Yes,,,Springer Nature (Adis)
Pharmacological Reports,2299-5684,Yes,,,Springer Nature (Springer)
Phenomenology and the Cognitive Sciences,1572-8676,Yes,,,Springer Nature (Springer)
Phenomics,2730-5848,Yes,,,Springer Nature (Springer)
Philosophia,1574-9274,Yes,,,Springer Nature (Springer)
Philosophical Studies,1573-0883,Yes,,,Springer Nature (Springer)
Philosophy & Technology,2210-5441,Yes,,,Springer Nature (Springer)
Philosophy of Management,2052-9597,Yes,,,Springer Nature (Springer)
Photochemical & Photobiological Sciences,1474-9092,Yes,,,Springer Nature (Springer)
Photonic Network Communications,1572-8188,Yes,,,Springer Nature (Springer)
Photosynthesis Research,1573-5079,Yes,,,Springer Nature (Springer)
Physical and Engineering Sciences in Medicine,2662-4737,Yes,,,Springer Nature (Springer)
Physical Mesomechanics,1990-5424,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Physics and Chemistry of Minerals,1432-2021,Yes,,,Springer Nature (Springer)
Physics in Perspective,1422-6960,Yes,,,Springer Nature (Springer)
Physics of Atomic Nuclei,1562-692X,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Physics of Metals and Metallography,1555-6190,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Physics of Particles and Nuclei,1531-8559,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Physics of Particles and Nuclei Letters,1531-8567,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Physics of the Solid State,1090-6460,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Physics of Wave Phenomena,1934-807X,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Physiology and Molecular Biology of Plants,0974-0430,Yes,,,Springer Nature (Springer)
Phytochemistry Reviews,1572-980X,Yes,,,Springer Nature (Springer)
Phytoparasitica,1876-7184,Yes,,,Springer Nature (Springer)
Pituitary,1573-7403,Yes,,,Springer Nature (Springer)
Place Branding and Public Diplomacy,1751-8059,Yes,,,Springer Nature (Palgrave Macmillan)
Plant and Soil,1573-5036,Yes,,,Springer Nature (Springer)
Plant Biotechnology Reports,1863-5474,Yes,,,Springer Nature (Springer)
Plant Cell Reports,1432-203X,Yes,,,Springer Nature (Springer)
"Plant Cell, Tissue and Organ Culture (PCTOC)",1573-5044,Yes,,,Springer Nature (Springer)
Plant Ecology,1573-5052,Yes,,,Springer Nature (Springer)
Plant Foods for Human Nutrition,1573-9104,Yes,,,Springer Nature (Springer)
Plant Growth Regulation,1573-5087,Yes,,,Springer Nature (Springer)
Plant Molecular Biology,1573-5028,Yes,,,Springer Nature (Springer)
Plant Molecular Biology Reporter,1572-9818,Yes,,,Springer Nature (Springer)
Plant Physiology Reports,2662-2548,Yes,,,Springer Nature (Springer)
Plant Reproduction,2194-7961,Yes,,,Springer Nature (Springer)
Plant Systematics and Evolution,1615-6110,Yes,,,Springer Nature (Springer)
Planta,1432-2048,Yes,,,Springer Nature (Springer)
Plasma Chemistry and Plasma Processing,1572-8986,Yes,,,Springer Nature (Springer)
Plasma Physics Reports,1562-6938,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Plasmonics,1557-1963,Yes,,,Springer Nature (Springer)
Pneumo News,2199-3866,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Polar Biology,1432-2056,Yes,,,Springer Nature (Springer)
Policy Sciences,1573-0891,Yes,,,Springer Nature (Springer)
Political Behavior,1573-6687,Yes,,,Springer Nature (Springer)
Politische Vierteljahresschrift,1862-2860,Yes,,,Springer Nature (Springer)
Polymer Bulletin,1436-2449,Yes,,,Springer Nature (Springer)
Polymer Journal,1349-0540,Yes,,,Springer Nature (Academic Journals on Nature.com)
"Polymer Science, Series A",1555-6107,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
"Polymer Science, Series B",1555-6123,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
"Polymer Science, Series C",1555-614X,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
"Polymer Science, Series D",1995-4220,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Polytechnica,2520-8063,Yes,,,Springer Nature (Springer)
Population and Environment,1573-7810,Yes,,,Springer Nature (Springer)
Population Research and Policy Review,1573-7829,Yes,,,Springer Nature (Springer)
Portuguese Economic Journal,1617-9838,Yes,,,Springer Nature (Springer)
Positivity,1572-9281,Yes,,,Springer Nature (Springer)
Postdigital Science and Education,2524-4868,Yes,,,Springer Nature (Springer)
postmedieval,2040-5979,Yes,,,Springer Nature (Palgrave Macmillan)
Potato Research,1871-4528,Yes,,,Springer Nature (Springer)
Potential Analysis,1572-929X,Yes,,,Springer Nature (Springer)
Powder Metallurgy and Metal Ceramics,1573-9066,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Power Technology and Engineering,1570-1468,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Pramana,0973-7111,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Prävention und Gesundheitsförderung,1861-6763,Yes,,,Springer Nature (Springer)
Precision Agriculture,1573-1618,Yes,,,Springer Nature (Springer)
Prevention Science,1573-6695,Yes,,,Springer Nature (Springer)
Primates,1610-7365,Yes,,,Springer Nature (Springer)
Probability Theory and Related Fields,1432-2064,Yes,,,Springer Nature (Springer)
Probiotics and Antimicrobial Proteins,1867-1314,Yes,,,Springer Nature (Springer)
Problems of Information Transmission,1608-3253,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
ProCare,1613-7574,Yes,,,Springer Nature (Springer)
Proceedings - Mathematical Sciences,0973-7685,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Proceedings of the Indian National Science Academy,2454-9983,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
"Proceedings of the National Academy of Sciences, India Section A: Physical Sciences",2250-1762,Yes,,,Springer Nature (Springer)
"Proceedings of the National Academy of Sciences, India Section B: Biological Sciences",2250-1746,Yes,,,Springer Nature (Springer)
Proceedings of the Steklov Institute of Mathematics,1531-8605,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Proceedings of the Zoological Society,0974-6919,Yes,,,Springer Nature (Springer)
Process Integration and Optimization for Sustainability,2509-4246,Yes,,,Springer Nature (Springer)
Production Engineering,1863-7353,Yes,,,Springer Nature (Springer)
Programming and Computer Software,1608-3261,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Progress in Additive Manufacturing,2363-9520,Yes,,,Springer Nature (Springer)
Progress in Artificial Intelligence,2192-6360,Yes,,,Springer Nature (Springer)
Progress in Biomaterials,2194-0517,Yes,,,Springer Nature (Springer)
PROSPECTS,1573-9090,Yes,,,Springer Nature (Springer)
Prostate Cancer and Prostatic Diseases,1476-5608,Yes,,,Springer Nature (Academic Journals on Nature.com)
Protection of Metals and Physical Chemistry of Surfaces,2070-206X,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Protoplasma,1615-6102,Yes,,,Springer Nature (Springer)
Psychiatric Quarterly,1573-6709,Yes,,,Springer Nature (Springer)
"Psychoanalysis, Culture & Society",1543-3390,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Palgrave Macmillan)
Psychological Injury and Law,1938-9728,Yes,,,Springer Nature (Springer)
Psychological Research,1430-2772,Yes,,,Springer Nature (Springer)
Psychological Studies,0974-9861,Yes,,,Springer Nature (Springer)
Psychometrika,1860-0980,Yes,,,Springer Nature (Springer)
Psychonomic Bulletin & Review,1531-5320,Yes,,,Springer Nature (Springer)
Psychopharmacology,1432-2072,Yes,,,Springer Nature (Springer)
psychopraxis. neuropraxis,2197-9715,Yes,,,Springer Nature (Springer)
Psychotherapeut,1432-2080,Yes,,,Springer Nature (Springer)
Psychotherapie Forum,1613-7604,Yes,,,Springer Nature (Springer)
Public Choice,1573-7101,Yes,,,Springer Nature (Springer)
Public Organization Review,1573-7098,Yes,,,Springer Nature (Springer)
Public Transport,1613-7159,Yes,,,Springer Nature (Springer)
Publishing Research Quarterly,1936-4792,Yes,,,Springer Nature (Springer)
Publizistik,1862-2569,Yes,,,Springer Nature (Springer)
Pure and Applied Geophysics,1420-9136,Yes,,,Springer Nature (Springer)
Purinergic Signalling,1573-9546,Yes,,,Springer Nature (Springer)
Qualitas,2730-7298,Yes,,,Springer Nature (Springer)
Qualitative Sociology,1573-7837,Yes,,,Springer Nature (Springer)
Qualitative Theory of Dynamical Systems,1662-3592,Yes,,,Springer Nature (Springer)
Quality & Quantity,1573-7845,Yes,,,Springer Nature (Springer)
Quality and User Experience,2366-0147,Yes,,,Springer Nature (Springer)
Quality of Life Research,1573-2649,Yes,,,Springer Nature (Springer)
Quantitative Marketing and Economics,1573-711X,Yes,,,Springer Nature (Springer)
Quantum Information Processing,1573-1332,Yes,,,Springer Nature (Springer)
Quantum Machine Intelligence,2524-4914,Yes,,,Springer Nature (Springer)
Quantum Studies: Mathematics and Foundations,2196-5617,Yes,,,Springer Nature (Springer)
Queueing Systems,1572-9443,Yes,,,Springer Nature (Springer)
Race and Social Problems,1867-1756,Yes,,,Springer Nature (Springer)
Radiation and Environmental Biophysics,1432-2099,Yes,,,Springer Nature (Springer)
Radiation Detection Technology and Methods,2509-9949,Yes,,,Springer Nature (Springer)
Radiochemistry,1608-3288,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Radioelectronics and Communications Systems,1934-8061,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Radiological Physics and Technology,1865-0341,Yes,,,Springer Nature (Springer)
Radiophysics and Quantum Electronics,1573-9120,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Rare Metals,1867-7185,Yes,,,Springer Nature (Springer)
"Reaction Kinetics, Mechanisms and Catalysis",1878-5204,Yes,,,Springer Nature (Springer)
Reactions Weekly,1179-2051,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Adis)
Reading and Writing,1573-0905,Yes,,,Springer Nature (Springer)
Real-Time Systems,1573-1383,Yes,,,Springer Nature (Springer)
Rechtsmedizin,1434-5196,Yes,,,Springer Nature (Springer)
Refractories and Industrial Ceramics,1573-9139,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Regenerative Engineering and Translational Medicine,2364-4141,Yes,,,Springer Nature (Springer)
Regional Environmental Change,1436-378X,Yes,,,Springer Nature (Springer)
Regional Research of Russia,2079-9713,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Regular and Chaotic Dynamics,1468-4845,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Remote Sensing in Earth Systems Sciences,2520-8209,Yes,,,Springer Nature (Springer)
Rendiconti del Circolo Matematico di Palermo Series 2,1973-4409,Yes,,,Springer Nature (Springer)
Rendiconti Lincei. Scienze Fisiche e Naturali,1720-0776,Yes,,,Springer Nature (Springer)
Reproductive Sciences,1933-7205,Yes,,,Springer Nature (Springer)
Requirements Engineering,1432-010X,Yes,,,Springer Nature (Springer)
Res Publica,1572-8692,Yes,,,Springer Nature (Springer)
Research in Engineering Design,1435-6066,Yes,,,Springer Nature (Springer)
Research in Higher Education,1573-188X,Yes,,,Springer Nature (Springer)
Research in Number Theory,2363-9555,Yes,,,Springer Nature (Springer)
Research in Science Education,1573-1898,Yes,,,Springer Nature (Springer)
Research in the Mathematical Sciences,2197-9847,Yes,,,Springer Nature (Springer)
Research on Biomedical Engineering,2446-4740,Yes,,,Springer Nature (Springer)
Research on Chemical Intermediates,1568-5675,Yes,,,Springer Nature (Springer)
Research on Child and Adolescent Psychopathology,2730-7174,Yes,,,Springer Nature (Springer)
Resonance,0973-712X,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Results in Mathematics,1420-9012,Yes,,,Springer Nature (Springer)
Review Journal of Autism and Developmental Disorders,2195-7185,Yes,,,Springer Nature (Springer)
Review of Accounting Studies,1573-7136,Yes,,,Springer Nature (Springer)
"Review of Agricultural, Food and Environmental Studies",2425-6897,Yes,,,Springer Nature (Springer)
Review of Derivatives Research,1573-7144,Yes,,,Springer Nature (Springer)
Review of Economic Design,1434-4750,Yes,,,Springer Nature (Springer)
Review of Economics of the Household,1573-7152,Yes,,,Springer Nature (Springer)
Review of Evolutionary Political Economy,2662-6144,Yes,,,Springer Nature (Springer)
Review of Industrial Organization,1573-7160,Yes,,,Springer Nature (Springer)
Review of Managerial Science,1863-6691,Yes,,,Springer Nature (Springer)
Review of Philosophy and Psychology,1878-5166,Yes,,,Springer Nature (Springer)
Review of Quantitative Finance and Accounting,1573-7179,Yes,,,Springer Nature (Springer)
Review of Regional Research,1613-9836,Yes,,,Springer Nature (Springer)
Review of Religious Research,2211-4866,Yes,,,Springer Nature (Springer)
Review of World Economics,1610-2886,Yes,,,Springer Nature (Springer)
Reviews Advances Chemistry,2079-9799,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Reviews in Endocrine and Metabolic Disorders,1573-2606,Yes,,,Springer Nature (Springer)
Reviews in Environmental Science and Bio/Technology,1572-9826,Yes,,,Springer Nature (Springer)
Reviews in Fish Biology and Fisheries,1573-5184,Yes,,,Springer Nature (Springer)
Reviews of Modern Plasma Physics,2367-3192,Yes,,,Springer Nature (Springer)
Revista Brasileira de Farmacognosia,1981-528X,Yes,,,Springer Nature (Springer)
"Revista de la Real Academia de Ciencias Exactas, Físicas y Naturales. Serie A. Matemáticas",1579-1505,Yes,,,Springer Nature (Springer)
Revista Matemática Complutense,1988-2807,Yes,,,Springer Nature (Springer)
Rheologica Acta,1435-1528,Yes,,,Springer Nature (Springer)
rheuma plus,2191-2610,Yes,,,Springer Nature (Springer)
Rheumatology International,1437-160X,Yes,,,Springer Nature (Springer)
Ricerche di Matematica,1827-3491,Yes,,,Springer Nature (Springer)
Risk Management,1743-4637,Yes,,,Springer Nature (Palgrave Macmillan)
Rock Mechanics and Rock Engineering,1434-453X,Yes,,,Springer Nature (Springer)
Russian Aeronautics,1934-7901,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Russian Agricultural Sciences,1934-8037,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Russian Chemical Bulletin,1573-9171,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Russian Electrical Engineering,1934-8010,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Russian Engineering Research,1934-8088,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Russian Journal of Applied Chemistry,1608-3296,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Russian Journal of Biological Invasions,2075-1125,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Russian Journal of Bioorganic Chemistry,1608-330X,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Russian Journal of Coordination Chemistry,1608-3318,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Russian Journal of Developmental Biology,1608-3326,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Russian Journal of Ecology,1608-3334,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Russian Journal of Electrochemistry,1608-3342,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Russian Journal of General Chemistry,1608-3350,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Russian Journal of Genetics,1608-3369,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Russian Journal of Inorganic Chemistry,1531-8613,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Russian Journal of Marine Biology,1608-3377,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Russian Journal of Mathematical Physics,1555-6638,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Russian Journal of Non-Ferrous Metals,1934-970X,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Russian Journal of Nondestructive Testing,1608-3385,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Russian Journal of Organic Chemistry,1608-3393,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Russian Journal of Pacific Geology,1819-7159,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Russian Journal of Physical Chemistry A,1531-863X,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Russian Journal of Physical Chemistry B,1990-7923,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Russian Journal of Plant Physiology,1608-3407,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Russian Linguistics,1572-8714,Yes,,,Springer Nature (Springer)
Russian Mathematics,1934-810X,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Russian Metallurgy (Metally),1555-6255,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Russian Meteorology and Hydrology,1934-8096,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Russian Microelectronics,1608-3415,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Russian Physics Journal,1573-9228,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Sādhanā,0973-7677,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Safety in Extreme Environments,2524-8189,Yes,,,Springer Nature (Springer)
"Sampling Theory, Signal Processing, and Data Analysis",2730-5724,Yes,,,Springer Nature (Springer)
Sankhya A,0976-8378,Yes,,,Springer Nature (Springer)
Sankhya B,0976-8394,Yes,,,Springer Nature (Springer)
São Paulo Journal of Mathematical Sciences,2316-9028,Yes,,,Springer Nature (Springer)
Schmerz Nachrichten,2731-3999,Yes,,,Springer Nature (Springer)
Schmerzmedizin,2364-1010,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
School Mental Health,1866-2633,Yes,,,Springer Nature (Springer)
Schweizer Gastroenterologie,2662-7159,Yes,,,Springer Nature (Springer)
Science & Education,1573-1901,Yes,,,Springer Nature (Springer)
Science and Engineering Ethics,1471-5546,Yes,,,Springer Nature (Springer)
Science China Chemistry,1869-1870,Yes,,,Springer Nature (Springer)
Science China Earth Sciences,1869-1897,Yes,,,Springer Nature (Springer)
Science China Information Sciences,1869-1919,Yes,,,Springer Nature (Springer)
Science China Life Sciences,1869-1889,Yes,,,Springer Nature (Springer)
Science China Materials,2199-4501,Yes,,,Springer Nature (Springer)
Science China Mathematics,1869-1862,Yes,,,Springer Nature (Springer)
"Science China Physics, Mechanics & Astronomy",1869-1927,Yes,,,Springer Nature (Springer)
Science China Technological Sciences,1869-1900,Yes,,,Springer Nature (Springer)
Scientific and Technical Information Processing,1934-8118,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Scientometrics,1588-2861,Yes,,,Springer Nature (Springer)
Security Journal,1743-4645,Yes,,,Springer Nature (Palgrave Macmillan)
Seismic Instruments,1934-7871,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Selecta Mathematica,1420-9020,Yes,,,Springer Nature (Springer)
SeMA Journal,2281-7875,Yes,,,Springer Nature (Springer)
Semiconductors,1090-6479,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Semigroup Forum,1432-2137,Yes,,,Springer Nature (Springer)
Seminars in Immunopathology,1863-2300,Yes,,,Springer Nature (Springer)
Sensing and Imaging,1557-2072,Yes,,,Springer Nature (Springer)
Service Business,1862-8508,Yes,,,Springer Nature (Springer)
Service Oriented Computing and Applications,1863-2394,Yes,,,Springer Nature (Springer)
Set-Valued and Variational Analysis,1877-0541,Yes,,,Springer Nature (Springer)
Sex Roles,1573-2762,Yes,,,Springer Nature (Springer)
Sexuality & Culture,1936-4822,Yes,,,Springer Nature (Springer)
Sexuality and Disability,1573-6717,Yes,,,Springer Nature (Springer)
Sexuality Research and Social Policy,1553-6610,Yes,,,Springer Nature (Springer)
Shape Memory and Superelasticity,2199-3858,Yes,,,Springer Nature (Springer)
Shock Waves,1432-2153,Yes,,,Springer Nature (Springer)
Siberian Advances in Mathematics,1934-8126,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Siberian Mathematical Journal,1573-9260,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
"Signal, Image and Video Processing",1863-1711,Yes,,,Springer Nature (Springer)
Silicon,1876-9918,Yes,,,Springer Nature (Springer)
Skeletal Radiology,1432-2161,Yes,,,Springer Nature (Springer)
Sleep and Biological Rhythms,1479-8425,Yes,,,Springer Nature (Springer)
Sleep and Breathing,1522-1709,Yes,,,Springer Nature (Springer)
Sleep and Vigilance,2510-2265,Yes,,,Springer Nature (Springer)
Small Business Economics,1573-0913,Yes,,,Springer Nature (Springer)
Small-scale Forestry,1873-7854,Yes,,,Springer Nature (Springer)
SN Business & Economics,2662-9399,Yes,,,Springer Nature (Springer)
SN Comprehensive Clinical Medicine,2523-8973,Yes,,,Springer Nature (Springer)
SN Computer Science,2661-8907,Yes,,,Springer Nature (Springer)
SN Social Sciences,2662-9283,Yes,,,Springer Nature (Springer)
Social Choice and Welfare,1432-217X,Yes,,,Springer Nature (Springer)
Social Indicators Research,1573-0921,Yes,,,Springer Nature (Springer)
Social Justice Research,1573-6725,Yes,,,Springer Nature (Springer)
Social Network Analysis and Mining,1869-5469,Yes,,,Springer Nature (Springer)
Social Psychiatry and Psychiatric Epidemiology,1433-9285,Yes,,,Springer Nature (Springer)
Social Psychology of Education,1573-1928,Yes,,,Springer Nature (Springer)
