Journal,ISSN,Included in R&P Agreement,Explanation if not included,DOI,Publisher
Journal of Toxicology,1687-8205,Yes,,,Hindawi
Journal of Transplantation,2090-0015,Yes,,,Hindawi
Journal of Traumatic Stress,1573-6598,Yes,,,Wiley
Journal of Tropical Medicine,1687-9694,Yes,,,Hindawi
Journal of Ultrasound in Medicine,1550-9613,Yes,,,Wiley
Journal of Vegetation Science,1654-1103,Yes,,,Wiley
Journal of Veterinary Emergency and Critical Care,1476-4431,Yes,,,Wiley
Journal of Veterinary Internal Medicine,1939-1676,Yes,,,Wiley
Journal of Veterinary Pharmacology and Therapeutics,1365-2885,Yes,,,Wiley
Journal of Vinyl & Additive Technology,1548-0585,Yes,,,Wiley
Journal of Viral Hepatitis,1365-2893,Yes,,,Wiley
Journal of World Aquaculture Society,1749-7345,Yes,,,Wiley
Journal of Zoological Systematics and Evolutionary Research,1439-0469,Yes,,,Hindawi
Journal of Zoology,1469-7998,Yes,,,Wiley
JSFA Reports,2573-5098,Yes,,,Wiley
Juvenile and Family Court Journal,1755-6988,Yes,,,Wiley
Knowledge and Process Management,1099-1441,Yes,,,Wiley
Kyklos,1467-6435,Yes,,,Wiley
LABOUR,1467-9914,Yes,,,Wiley
"Lakes & Reservoirs: Science, Policy and Management for Sustainable Use",1440-1770,Yes,,,Wiley
Land Degradation & Development,1099-145X,Yes,,,Wiley
Language and Linguistics Compass,1749-818X,Yes,,,Wiley
Language Learning,1467-9922,Yes,,,Wiley
Laryngoscope Investigative Otolaryngology,2378-8038,Yes,,,Wiley
Laser & Photonics Reviews,1863-8899,Yes,,,Wiley
Lasers in Surgery and Medicine,1096-9101,Yes,,,Wiley
Latin American Policy,2041-7373,Yes,,,Wiley
Law & Policy,1467-9930,Yes,,,Wiley
Law & Society Review,1540-5893,Yes,,,Wiley
Leader to Leader,1531-5355,Yes,,,Wiley
Learned Publishing,1741-4857,Yes,,,Wiley
Learning Disabilities Research & Practice,1540-5826,Yes,,,Wiley
Learning Health Systems,2379-6146,Yes,,,Wiley
Lebensmittelchemie,1521-3811,No,,,Wiley
Legal and Criminological Psychology,2044-8333,Yes,,,Wiley
Legislative Studies Quarterly,1939-9162,Yes,,,Wiley
Legume Science,2639-6181,Yes,,,Wiley
Lifestyle Medicine,2688-3740,Yes,,,Wiley
Limnology and Oceanography,1939-5590,Yes,,,Wiley
Limnology and Oceanography Bulletin,1539-6088,Yes,,,Wiley
Limnology and Oceanography Letters,2378-2242,Yes,,,Wiley
Limnology and Oceanography: Methods,1541-5856,Yes,,,Wiley
Lipids,1558-9307,Yes,,,Wiley
Literacy,1741-4369,Yes,,,Wiley
Literature Compass,1741-4113,Yes,,,Wiley
Liver Cancer International,2642-3561,Yes,,,Wiley
Liver International,1478-3231,Yes,,,Wiley
Lubrication Science,1557-6833,Yes,,,Wiley
Luminescence,1522-7243,Yes,,,Wiley
LUTS: Lower Urinary Tract Symptoms,1757-5672,Yes,,,Wiley
Macromolecular Bioscience,1616-5195,Yes,,,Wiley
Macromolecular Chemistry and Physics,1521-3935,Yes,,,Wiley
Macromolecular Materials and Engineering,1439-2054,Yes,,,Wiley
Macromolecular Rapid Communications,1521-3927,Yes,,,Wiley
Macromolecular Reaction Engineering,1862-8338,Yes,,,Wiley
Macromolecular Symposia,1521-3900,Yes,,,Wiley
Macromolecular Theory and Simulations,1521-3919,Yes,,,Wiley
Magnetic Resonance in Chemistry,1097-458X,Yes,,,Wiley
Magnetic Resonance in Medicine,1522-2594,Yes,,,Wiley
Malignancy Spectrum,2770-9140,Yes,,,Wiley
Mammal Review,1365-2907,Yes,,,Wiley
Management Report For Nonunion Organizations,1530-8286,No,,,Wiley
Managerial and Decision Economics,1099-1468,Yes,,,Wiley
Marine and Coastal Fisheries,1942-5120,Yes,,,Wiley
Marine Ecology,1439-0485,Yes,,,Wiley
Marine Mammal Science,1748-7692,Yes,,,Wiley
Mass Spectrometry Reviews,1098-2787,Yes,,,Wiley
Material Design & Processing Communications,2577-6576,Yes,,,Hindawi
Materials and Corrosion,1521-4176,Yes,,,Wiley
Materialwissenschaft und Werkstofftechnik,1521-4052,Yes,,,Wiley
Maternal & Child Nutrition,1740-8709,Yes,,,Wiley
Mathematical Finance,1467-9965,Yes,,,Wiley
Mathematical Logic Quarterly,1521-3870,Yes,,,Wiley
Mathematical Methods in the Applied Sciences,1099-1476,Yes,,,Wiley
Mathematical Problems in Engineering,1563-5147,Yes,,,Hindawi
Mathematika,2041-7942,Yes,,,Wiley
Mathematische Nachrichten,1522-2616,Yes,,,Wiley
MedComm,2688-2663,Yes,,,Wiley
MedComm - Biomaterials and Applications,2769-643X,Yes,,,Wiley
MedComm - Future Medicine ,2769-6456,Yes,,,Wiley
MedComm – Oncology ,2769-6448,Yes,,,Wiley
Mediators of Inflammation,1466-1861,Yes,,,Hindawi
Medical and Veterinary Entomology,1365-2915,Yes,,,Wiley
Medical Anthropology Quarterly,1548-1387,Yes,,,Wiley
Medical Education,1365-2923,Yes,,,Wiley
Medical Journal of Australia,1326-5377,Yes,,,Wiley
Medical Physics,2473-4209,Yes,,,Wiley
Medicinal Research Reviews,1098-1128,Yes,,,Wiley
Mental Health Science,2642-3588,Yes,,,Wiley
Mental Health Weekly,1556-7583,No,,,Wiley
Metaphilosophy,1467-9973,Yes,,,Wiley
Meteoritics & Planetary Science,1945-5100,Yes,,,Wiley
Meteorological Applications,1469-8080,Yes,,,Wiley
Methods in Ecology and Evolution,2041-210X,Yes,,,Wiley
Metroeconomica,1467-999X,Yes,,,Wiley
Micro & Nano Letters,1750-0443,Yes,,,Wiley
Microbial Biotechnology,1751-7915,Yes,,,Wiley
Microbiology and Immunology,1348-0421,Yes,,,Wiley
MicrobiologyOpen,2045-8827,Yes,,,Wiley
Microcirculation,1549-8719,Yes,,,Wiley
Microscopy Research and Technique,1097-0029,Yes,,,Wiley
Microsurgery,1098-2752,Yes,,,Wiley
Microwave and Optical Technology Letters,1098-2760,Yes,,,Wiley
Middle East Policy,1475-4967,Yes,,,Wiley
Milton Quarterly,1094-348X,Yes,,,Wiley
Mind & Language,1468-0017,Yes,,,Wiley
"Mind, Brain, and Education",1751-228X,Yes,,,Wiley
Minimally Invasive Surgery,2090-1453,Yes,,,Hindawi
mLife,2770-100X,Yes,,,Wiley
Mobile Information Systems,1875-905X,Yes,,,Hindawi
Modelling and Simulation in Engineering,1687-5605,Yes,,,Hindawi
Modern Agriculture,2751-4102,Yes,,,Wiley
Modern Theology,1468-0025,Yes,,,Wiley
Molecular Carcinogenesis,1098-2744,Yes,,,Wiley
Molecular Ecology,1365-294X,Yes,,,Wiley
Molecular Ecology Resources,1755-0998,Yes,,,Wiley
Molecular Genetics & Genomic Medicine,2324-9269,Yes,,,Wiley
Molecular Informatics,1868-1751,Yes,,,Wiley
Molecular Microbiology,1365-2958,Yes,,,Wiley
Molecular Nutrition & Food Research,1613-4133,Yes,,,Wiley
Molecular Oncology,1878-0261,Yes,,,Wiley
Molecular Oral Microbiology,2041-1014,Yes,,,Wiley
Molecular Plant Pathology,1364-3703,Yes,,,Wiley
Molecular Reproduction and Development,1098-2795,Yes,,,Wiley
Molecular Systems Biology,1744-4292,Yes,,,Wiley
Monographs of the Society for Research in Child Development,1540-5834,Yes,,,Wiley
Movement Disorders,1531-8257,Yes,,,Wiley
Movement Disorders Clinical Practice,2330-1619,Yes,,,Wiley
Multiple Sclerosis International,2090-2662,Yes,,,Hindawi
Muscle & Nerve,1097-4598,Yes,,,Wiley
Musculoskeletal Care,1557-0681,Yes,,,Wiley
Museum Anthropology,1548-1379,Yes,,,Wiley
Music Analysis,1468-2249,Yes,,,Wiley
Mycoses,1439-0507,Yes,,,Wiley
Nano Select,2688-4011,Yes,,,Wiley
Nations and Nationalism,1469-8129,Yes,,,Wiley
Natural Resource Modeling ,1939-7445,Yes,,,Wiley
Natural Resources Forum,1477-8947,Yes,,,Wiley
Natural Sciences,2698-6248,Yes,,,Wiley
Natural Sciences Education,2168-8281,Yes,,,Wiley
Naval Research Logistics,1520-6750,Yes,,,Wiley
Near Surface Geophysics,1873-0604,Yes,,,Wiley
Negotiation Journal,1571-9979,Yes,,,Wiley
Nephrology,1440-1797,Yes,,,Wiley
Networks,1097-0037,Yes,,,Wiley
Neural Plasticity,1687-5443,Yes,,,Hindawi
Neurogastroenterology & Motility,1365-2982,Yes,,,Wiley
Neurology and Clinical Neuroscience,2049-4173,Yes,,,Wiley
Neurology Research International,2090-1860,Yes,,,Hindawi
Neuropathology,1440-1789,Yes,,,Wiley
Neuropathology and Applied Neurobiology,1365-2990,Yes,,,Wiley
Neuroprotection,2770-730X,Yes,,,Wiley
Neuropsychopharmacology Reports,2574-173X,Yes,,,Wiley
Neurourology and Urodynamics,1520-6777,Yes,,,Wiley
New Blackfriars,1741-2005,Yes,,,Wiley
New Directions for Adult and Continuing Education,1536-0717,Yes,,,Wiley
New Directions for Child and Adolescent Development,1534-8687,Yes,,,Hindawi
New Directions for Community Colleges,1536-0733,Yes,,,Wiley
New Directions for Evaluation,1534-875X,Yes,,,Wiley
New Directions for Higher Education,1536-0741,Yes,,,Wiley
New Directions for Student Leadership,2373-3357,Yes,,,Wiley
New Directions for Student Services,1536-0695,Yes,,,Wiley
New Directions for Teaching and Learning,1536-0768,Yes,,,Wiley
New Phytologist,1469-8137,Yes,,,Wiley
"New Technology, Work and Employment",1468-005X,Yes,,,Wiley
New Zealand Geographer,1745-7939,Yes,,,Wiley
NMR in Biomedicine,1099-1492,Yes,,,Wiley
Nonprofit Business Advisor,1949-3193,No,,,Wiley
Nonprofit Communications Report,2325-8616,No,,,Wiley
Nonprofit Management & Leadership,1542-7854,Yes,,,Wiley
Nordic Journal of Botany,1756-1051,Yes,,,Wiley
North American Journal of Aquaculture,1548-8454,Yes,,,Wiley
North American Journal of Fisheries Management,1548-8675,Yes,,,Wiley
Noûs,1468-0068,Yes,,,Wiley
Numerical Linear Algebra with Applications,1099-1506,Yes,,,Wiley
Numerical Methods for Partial Differential Equations,1098-2426,Yes,,,Wiley
Nursing & Health Sciences,1442-2018,Yes,,,Wiley
Nursing Forum,1744-6198,Yes,,,Hindawi
Nursing in Critical Care,1478-5153,Yes,,,Wiley
Nursing Inquiry,1440-1800,Yes,,,Wiley
Nursing Open,2054-1058,Yes,,,Wiley
Nursing Philosophy,1466-769X,Yes,,,Wiley
Nursing Research and Practice,2090-1437,Yes,,,Hindawi
Nutrition & Dietetics,1747-0080,Yes,,,Wiley
Nutrition Bulletin,1467-3010,Yes,,,Wiley
Nutrition in Clinical Practice,1941-2452,Yes,,,Wiley
Obesity,1930-739X,Yes,,,Wiley
Obesity Reviews,1467-789X,Yes,,,Wiley
Obesity Science & Practice,2055-2238,Yes,,,Wiley
Obstetrics and Gynecology International,1687-9597,Yes,,,Hindawi
Occupational Therapy International,1557-0703,Yes,,,Hindawi
Oceania,1834-4461,Yes,,,Wiley
Oikos,1600-0706,Yes,,,Wiley
Oil and Energy Trends,1744-7992,No,,,Wiley
Oil and Energy Trends: Annual Statistical Review,1746-9066,No,,,Wiley
OPEC Energy Review,1753-0237,Yes,,,Wiley
Opflow,1551-8701,No,,,Wiley
Ophthalmic and Physiological Optics,1475-1313,Yes,,,Wiley
Optimal Control Applications and Methods,1099-1514,Yes,,,Wiley
Oral Diseases,1601-0825,Yes,,,Wiley
Oral Science International,1881-4204,Yes,,,Wiley
Oral Surgery,1752-248X,Yes,,,Wiley
Orbis Litterarum,1600-0730,Yes,,,Wiley
Orthodontics & Craniofacial Research,1601-6343,Yes,,,Wiley
Orthopaedic Surgery,1757-7861,Yes,,,Wiley
OTO Open,2473-974X,Yes,,,Wiley
Otolaryngology-Head and Neck Surgery,1097-6817,Yes,,,Wiley
Oxford Bulletin of Economics and Statistics,1468-0084,Yes,,,Wiley
Oxford Journal of Archaeology,1468-0092,Yes,,,Wiley
Oxidative Medicine and Cellular Longevity,1942-0994,Yes,,,Hindawi
Pacific Economic Review,1468-0106,Yes,,,Wiley
Pacific Focus,1976-5118,Yes,,,Wiley
Pacific Philosophical Quarterly,1468-0114,Yes,,,Wiley
Pacing and Clinical Electrophysiology,1540-8159,Yes,,,Wiley
Packaging Technology and Science,1099-1522,Yes,,,Wiley
Paediatric and Neonatal Pain,2637-3807,Yes,,,Wiley
Paediatric and Perinatal Epidemiology,1365-3016,Yes,,,Wiley
Pain Practice,1533-2500,Yes,,,Wiley
Pain Research and Management,1918-1523,Yes,,,Hindawi
Palaeontology,1475-4983,Yes,,,Wiley
Paleoceanography and Paleoclimatology,2572-4525,Yes,,,Wiley
Papers in Palaeontology,2056-2802,Yes,,,Wiley
Papers in Regional Science,1435-5957,Yes,,,Wiley
Parasite Immunology,1365-3024,Yes,,,Wiley
Parkinson's Disease,2042-0080,Yes,,,Hindawi
Parliamentary History,1750-0206,Yes,,,Wiley
Particle & Particle Systems Characterization,1521-4117,Yes,,,Wiley
Pathology International,1440-1827,Yes,,,Wiley
Peace & Change,1468-0130,Yes,,,Wiley
Pediatric Allergy and Immunology,1399-3038,Yes,,,Wiley
Pediatric Anesthesia,1460-9592,Yes,,,Wiley
Pediatric Blood & Cancer,1545-5017,Yes,,,Wiley
Pediatric Dermatology,1525-1470,Yes,,,Wiley
Pediatric Diabetes,1399-5448,Yes,,,Hindawi
Pediatric Investigation,2574-2272,Yes,,,Wiley
Pediatric Obesity,2047-6310,Yes,,,Wiley
Pediatric Pulmonology,1099-0496,Yes,,,Wiley
Pediatric Transplantation,1399-3046,Yes,,,Wiley
Pediatrics International,1442-200X,Yes,,,Wiley
People and Nature,2575-8314,Yes,,,Wiley
Peptide Science,2475-8817,Yes,,,Wiley
Periodontology 2000,1600-0757,Yes,,,Wiley
Permafrost and Periglacial Processes,1099-1530,Yes,,,Wiley
Personal Relationships,1475-6811,Yes,,,Wiley
Personality and Mental Health,1932-863X,Yes,,,Wiley
Personnel Psychology,1744-6570,Yes,,,Wiley
Perspectives in Psychiatric Care,1744-6163,Yes,,,Hindawi
Perspectives on Sexual and Reproductive Health,1931-2393,Yes,,,Wiley
Pest Management Science,1526-4998,Yes,,,Wiley
Pharmaceutical Statistics,1539-1612,Yes,,,Wiley
Pharmacoepidemiology and Drug Safety,1099-1557,Yes,,,Wiley
Pharmacology Research & Perspectives,2052-1707,Yes,,,Wiley
Pharmacotherapy: The Journal of Human Pharmacology and Drug Therapy,1875-9114,Yes,,,Wiley
Philosophical Investigations,1467-9205,Yes,,,Wiley
Philosophical Issues,1758-2237,Yes,,,Wiley
Philosophical Perspectives,1520-8583,Yes,,,Wiley
Philosophy & Public Affairs,1088-4963,Yes,,,Wiley
Philosophy and Phenomenological Research,1933-1592,Yes,,,Wiley
Philosophy Compass,1747-9991,Yes,,,Wiley
Photochemistry and Photobiology,1751-1097,Yes,,,Wiley
"Photodermatology, Photoimmunology & Photomedicine",1600-0781,Yes,,,Wiley
PhotonicsViews,2626-1308,No,,,Wiley
Phycological Research,1440-1835,Yes,,,Wiley
physica status solidi (a) applications and materials science,1862-6319,Yes,,,Wiley
physica status solidi (b) basic solid state physics,1521-3951,Yes,,,Wiley
physica status solidi (RRL) Rapid Research Letters,1862-6270,Yes,,,Wiley
Physik in unserer Zeit,1521-3943,Yes,,,Wiley
Physiologia Plantarum,1399-3054,Yes,,,Wiley
Physiological Entomology,1365-3032,Yes,,,Wiley
Physiological Reports,2051-817X,Yes,,,Wiley
Physiotherapy Research International,1471-2865,Yes,,,Wiley
Phytochemical Analysis,1099-1565,Yes,,,Wiley
Phytotherapy Research,1099-1573,Yes,,,Wiley
Pigment Cell & Melanoma Research,1755-148X,Yes,,,Wiley
Plant Biology,1438-8677,Yes,,,Wiley
Plant Biotechnology Journal,1467-7652,Yes,,,Wiley
Plant Breeding,1439-0523,Yes,,,Wiley
Plant Direct,2475-4455,Yes,,,Wiley
Plant Pathology,1365-3059,Yes,,,Wiley
Plant Species Biology,1442-1984,Yes,,,Wiley
"Plant, Cell & Environment",1365-3040,Yes,,,Wiley
Plant-Environment Interactions,2575-6265,Yes,,,Wiley
"Plants, People, Planet",2572-2611,Yes,,,Wiley
Plasma Processes and Polymers,1612-8869,Yes,,,Wiley
PM&R,1934-1563,Yes,,,Wiley
PoLAR: Political and Legal Anthropology Review,1555-2934,Yes,,,Wiley
Policy & Internet,1944-2866,Yes,,,Wiley
Policy Studies Journal,1541-0072,Yes,,,Wiley
Political Psychology,1467-9221,Yes,,,Wiley
Politics & Policy,1747-1346,Yes,,,Wiley
Polymer Composites,1548-0569,Yes,,,Wiley
Polymer Crystallization,2573-7619,Yes,,,Hindawi
Polymer Engineering & Science,1548-2634,Yes,,,Wiley
Polymer International,1097-0126,Yes,,,Wiley
Polymers for Advanced Technologies,1099-1581,Yes,,,Wiley
Population and Development Review,1728-4457,Yes,,,Wiley
Population Ecology,1438-390X,Yes,,,Wiley
"Population, Space and Place",1544-8452,Yes,,,Wiley
Portal Hypertension & Cirrhosis,2770-5846,Yes,,,Wiley
Poverty & Public Policy,1944-2858,Yes,,,Wiley
PPAR Research,1687-4765,Yes,,,Hindawi
Precision Medical Sciences,2642-2514,Yes,,,Wiley
Precision Radiation Oncology,2398-7324,Yes,,,Wiley
Prenatal Diagnosis,1097-0223,Yes,,,Wiley
Presidential Studies Quarterly,1741-5705,Yes,,,Wiley
Proceedings in Applied Mathematics & Mechanics,1617-7061,Yes,,,Wiley
Proceedings of the Association for Information Science and Technology,2373-9231,No,,,Wiley
Proceedings of the London Mathematical Society,1460-244X,Yes,,,Wiley
Process Safety Progress,1547-5913,Yes,,,Wiley
Production and Operations Management,1937-5956,Yes,,,Wiley
Progress in Photovoltaics: Research and Applications,1099-159X,Yes,,,Wiley
"Propellants, Explosives, Pyrotechnics",1521-4087,Yes,,,Wiley
Prostate Cancer,2090-312X,Yes,,,Hindawi
Protein Science,1469-896X,Yes,,,Wiley
"Proteins: Structure, Function, and Bioinformatics",1097-0134,Yes,,,Wiley
Proteoglycan Research,2832-3556,Yes,,,Wiley
Proteomics,1615-9861,Yes,,,Wiley
PROTEOMICS - Clinical Applications,1862-8354,Yes,,,Wiley
PsyCh Journal,2046-0260,Yes,,,Wiley
Psyche: A Journal of Entomology,1687-7438,Yes,,,Hindawi
Psychiatric Research and Clinical Practice ,2575-5609,Yes,,,Wiley
Psychiatry and Clinical Neurosciences,1440-1819,Yes,,,Wiley
Psychiatry and Clinical Neurosciences Reports,2769-2558,Yes,,,Wiley
Psychiatry Journal,2314-4335,Yes,,,Hindawi
Psychogeriatrics,1479-8301,Yes,,,Wiley
Psychology & Marketing,1520-6793,Yes,,,Wiley
"Psychology and Psychotherapy: Theory, Research and Practice",2044-8341,Yes,,,Wiley
Psychology in the Schools,1520-6807,Yes,,,Wiley
Psycho-Oncology,1099-1611,Yes,,,Wiley
Psychophysiology,1469-8986,Yes,,,Wiley
Public Administration,1467-9299,Yes,,,Wiley
Public Administration and Development,1099-162X,Yes,,,Wiley
Public Administration Review,1540-6210,Yes,,,Wiley
Public Budgeting & Finance,1540-5850,Yes,,,Wiley
Public Health Challenges,2769-2450,Yes,,,Wiley
Public Health Nursing,1525-1446,Yes,,,Wiley
Pulmonary Circulation,2045-8940,Yes,,,Wiley
Pulmonary Medicine,2090-1844,Yes,,,Hindawi
Quality and Reliability Engineering International,1099-1638,Yes,,,Wiley
Quantitative Economics,1759-7331,Yes,,,Wiley
Quantum Engineering,2577-0470,Yes,,,Hindawi
Quarterly Journal of the Royal Meteorological Society,1477-870X,Yes,,,Wiley
R&D Management,1467-9310,Yes,,,Wiley
Radio Science,1944-799X,Yes,,,Wiley
Radiology Research and Practice,2090-195X,Yes,,,Hindawi
Random Structures & Algorithms,1098-2418,Yes,,,Wiley
Rapid Communications in Mass Spectrometry,1097-0231,Yes,,,Wiley
Ratio,1467-9329,Yes,,,Wiley
Ratio Juris,1467-9337,Yes,,,Wiley
Reading Research Quarterly,1936-2722,Yes,,,Wiley
Real Estate Economics,1540-6229,Yes,,,Wiley
Recruiting & Retaining Adult Learners,2155-6458,No,,,Wiley
Regional Science Policy & Practice,1757-7802,Yes,,,Wiley
Regulation & Governance,1748-5991,Yes,,,Wiley
Rehabilitation Research and Practice,2090-2875,Yes,,,Hindawi
Religion Compass,1749-8171,Yes,,,Wiley
Religious Studies Review,1748-0922,Yes,,,Wiley
Remediation,1520-6831,Yes,,,Wiley
Remote Sensing in Ecology and Conservation,2056-3485,Yes,,,Wiley
Renaissance Studies,1477-4658,Yes,,,Wiley
Reproduction in Domestic Animals,1439-0531,Yes,,,Wiley
Reproductive Medicine and Biology,1447-0578,Yes,,,Wiley
"Reproductive, Female and Child Health",2768-7228,Yes,,,Wiley
Research and Practice in Thrombosis and Haemostasis,2475-0379,TBC,,,Elsevier
Research in Nursing & Health,1098-240X,Yes,,,Wiley
Research Synthesis Methods,1759-2887,Yes,,,Wiley
Resource Geology,1751-3928,Yes,,,Wiley
Respirology,1440-1843,Yes,,,Wiley
Respirology Case Reports,2051-3380,Yes,,,Wiley
Restoration Ecology,1526-100X,Yes,,,Wiley
Review of Development Economics,1467-9361,Yes,,,Wiley
Review of Education,2049-6613,Yes,,,Wiley
"Review of European, Comparative & International Environmental Law",2050-0394,Yes,,,Wiley
Review of Financial Economics,1873-5924,Yes,,,Wiley
Review of Income and Wealth,1475-4991,Yes,,,Wiley
Review of International Economics,1467-9396,Yes,,,Wiley
Review of Policy Research,1541-1338,Yes,,,Wiley
Reviews in Aquaculture,1753-5131,Yes,,,Wiley
Reviews in Medical Virology,1099-1654,Yes,,,Wiley
Reviews in Religion & Theology,1467-9418,Yes,,,Wiley
Reviews of Geophysics,1944-9208,Yes,,,Wiley
Revista Internacional del Trabajo,1564-9148,Yes,,,Wiley
Revue internationale du Travail,1564-9121,Yes,,,Wiley
Rheumatology & Autoimmunity,2767-1429,Yes,,,Wiley
Risk Analysis,1539-6924,Yes,,,Wiley
Risk Management and Insurance Review,1540-6296,Yes,,,Wiley
"Risk, Hazards & Crisis in Public Policy",1944-4079,Yes,,,Wiley
River,2750-4867,Yes,,,Wiley
River Research and Applications,1535-1467,Yes,,,Wiley
Rural Sociology,1549-0831,Yes,,,Wiley
Sarcoma,1369-1643,Yes,,,Hindawi
Scandinavian Journal of Caring Sciences,1471-6712,Yes,,,Wiley
Scandinavian Journal of Immunology,1365-3083,Yes,,,Wiley
Scandinavian Journal of Medicine & Science In Sports,1600-0838,Yes,,,Wiley
Scandinavian Journal of Psychology,1467-9450,Yes,,,Wiley
Scandinavian Journal of Statistics,1467-9469,Yes,,,Wiley
Scandinavian Political Studies,1467-9477,Yes,,,Wiley
Scanning,1932-8745,Yes,,,Hindawi
Schizophrenia Research and Treatment,2090-2093,Yes,,,Hindawi
School Science and Mathematics,1949-8594,Yes,,,Wiley
Science and Technology of Nuclear Installations,1687-6083,Yes,,,Hindawi
Science Education,1098-237X,Yes,,,Wiley
Scientific Programming,1875-919X,Yes,,,Hindawi
Scientifica,2090-908X,Yes,,,Hindawi
Scottish Journal of Political Economy,1467-9485,Yes,,,Wiley
Security and Communication Networks,1939-0122,Yes,,,Hindawi
Security and Privacy,2475-6725,Yes,,,Wiley
Sedimentology,1365-3091,Yes,,,Wiley
Seminars in Dialysis,1525-139X,Yes,,,Wiley
Separation Science Plus,2573-1815,Yes,,,Wiley
"Sexuality, Gender & Policy",2639-5355,Yes,,,Wiley
Shock and Vibration,1875-9203,Yes,,,Hindawi
SID Symposium Digest of Technical Papers,2168-0159,No,,,Wiley
Singapore Journal of Tropical Geography,1467-9493,Yes,,,Wiley
Skin Health and Disease,2690-442X,Yes,,,Wiley
Skin Research and Technology,1600-0846,Yes,,,Wiley
Sleep Disorders,2090-3553,Yes,,,Hindawi
Small,1613-6829,Yes,,,Wiley
Small Methods,2366-9608,Yes,,,Wiley
Small Science,2688-4046,Yes,,,Wiley
Small Structures,2688-4062,Yes,,,Wiley
Smart Medicine,2688-819X,Yes,,,Wiley
SmartMat,2751-1871,Yes,,,Wiley
Social and Personality Psychology Compass,1751-9004,Yes,,,Wiley
Social Development,1467-9507,Yes,,,Wiley
Social Issues and Policy Review,1751-2409,Yes,,,Wiley
Social Policy & Administration,1467-9515,Yes,,,Wiley
Social Science Quarterly,1540-6237,Yes,,,Wiley
Sociologia Ruralis,1467-9523,Yes,,,Wiley
Sociological Forum,1573-7861,Yes,,,Wiley
Sociological Inquiry,1475-682X,Yes,,,Wiley
Sociology Compass,1751-9020,Yes,,,Wiley
Sociology of Health & Illness,1467-9566,Yes,,,Wiley
"Software Testing, Verification & Reliability",1099-1689,Yes,,,Wiley
Software: Practice and Experience,1097-024X,Yes,,,Wiley
Soil Science Society of America Journal,1435-0661,Yes,,,Wiley
Soil Use and Management,1475-2743,Yes,,,Wiley
Solar RRL,2367-198X,Yes,,,Wiley
Sonography,2054-6750,Yes,,,Wiley
South African Journal of Economics,1813-6982,Yes,,,Wiley
Southern Economic Journal,2325-8012,Yes,,,Wiley
Space Weather,1542-7390,Yes,,,Wiley
SPE Polymers,2690-3857,Yes,,,Wiley
Special Care in Dentistry,1754-4505,Yes,,,Wiley
Special Events Galore,2325-8586,No,,,Wiley
Stahlbau,1437-1049,No,,,Wiley
Starch - Stärke,1521-379X,Yes,,,Wiley
Stat,2049-1573,Yes,,,Wiley
Statistica Neerlandica,1467-9574,Yes,,,Wiley
Statistical Analysis and Data Mining,1932-1872,Yes,,,Wiley
Statistics in Medicine,1097-0258,Yes,,,Wiley
Steel Construction: Design and Research,1867-0539,Yes,,,Wiley
Steel Research International,1869-344X,Yes,,,Wiley
Stem Cells International,1687-9678,Yes,,,Hindawi
Strain,1475-1305,Yes,,,Wiley
Strategic Change,1099-1697,Yes,,,Wiley
Strategic Entrepreneurship Journal,1932-443X,Yes,,,Wiley
Strategic Management Journal,1097-0266,Yes,,,Wiley
Stress and Health,1532-2998,Yes,,,Wiley
Stroke Research and Treatment,2042-0056,Yes,,,Hindawi
STROKE: Vascular and Interventional Neurology,2694-5746,Yes,,,Wiley
Structural Concrete,1751-7648,Yes,,,Wiley
Structural Control and Health Monitoring,1545-2263,Yes,,,Hindawi
Student Affairs Today,1943-7552,No,,,Wiley
Studia Linguistica,1467-9582,Yes,,,Wiley
Studies in Applied Mathematics,1467-9590,Yes,,,Wiley
Studies in Ethnicity and Nationalism,1754-9469,Yes,,,Wiley
Studies in Family Planning,1728-4465,Yes,,,Wiley
Successful Fundraising,2325-8624,No,,,Wiley
Suicide and Life-Threatening Behavior,1943-278X,Yes,,,Wiley
Support for Learning,1467-9604,Yes,,,Wiley
Surface and Interface Analysis,1096-9918,Yes,,,Wiley
Surgery Research and Practice,2356-6124,Yes,,,Hindawi
Surgical Practice,1744-1633,Yes,,,Wiley
SusMat,2692-4552,Yes,,,Wiley
Sustainable Development,1099-1719,Yes,,,Wiley
Sustainable Food Proteins,2771-9693,Yes,,,Wiley
Swiss Political Science Review,1662-6370,Yes,,,Wiley
Symbolic Interaction,1533-8665,Yes,,,Wiley
Synapse,1098-2396,Yes,,,Wiley
Syntax,1467-9612,Yes,,,Wiley
System Dynamics Review,1099-1727,Yes,,,Wiley
Systematic Entomology,1365-3113,Yes,,,Wiley
Systems Engineering,1520-6858,Yes,,,Wiley
Systems Research and Behavioral Science,1099-1743,Yes,,,Wiley
TAXON,1996-8175,Yes,,,Wiley
Teaching Statistics,1467-9639,Yes,,,Wiley
Teaching Theology & Religion,1467-9647,Yes,,,Wiley
Tectonics,1944-9194,Yes,,,Wiley
Terra Nova,1365-3121,Yes,,,Wiley
TESOL Journal,1949-3533,Yes,,,Wiley
TESOL Quarterly,1545-7249,Yes,,,Wiley
The American Journal of Economics and Sociology,1536-7150,Yes,,,Wiley
The American Journal on Addictions,1521-0391,Yes,,,Wiley
